Rank,County Within New York
Metric,Demographics Race White
Margin of Error,± percent
baselineMetricUnit:,population

Rank,Geography,Demographics Race White,< Margin of Error,Demographics Race Black,< Margin of Error,Demographics Race Hispanic,< Margin of Error,Demographics Race Asian/P.Isl.,< Margin of Error,Demographics Race Native Am.,< Margin of Error

1,Hamilton NY,0.9957,,0.0021,,0.0012,,0.001,,0,
2,Chenango NY,0.9953,,0.001,,0.0032,,0.0001,,0.0004,
3,Schuyler NY,0.9931,,0.0036,,0.0031,,0.0001,,0.0001,
4,Tioga NY,0.9929,,0.0008,,0.0041,,0.002,,0.0003,
5,Lewis NY,0.992,,0.0022,,0.0052,,0.0001,,0.0005,
6,Yates NY,0.9905,,0.004,,0.0049,,0.0006,,0,
7,Herkimer NY,0.9883,,0.0051,,0.0056,,0.0008,,0.0002,
8,Warren NY,0.988,,0.0035,,0.0062,,0.0018,,0.0005,
9,Steuben NY,0.9848,,0.0054,,0.0036,,0.0062,,0.0001,
10,Allegany NY,0.9835,,0.0061,,0.0058,,0.0045,,0.0002,
11,Schoharie NY,0.9829,,0.0076,,0.0083,,0.0012,,0.0001,
12,Oswego NY,0.9826,,0.0041,,0.0109,,0.0018,,0.0006,
13,Cortland NY,0.9775,,0.008,,0.011,,0.0033,,0.0002,
14,Fulton NY,0.9742,,0.0127,,0.0117,,0.0011,,0.0003,
15,Delaware NY,0.9732,,0.0088,,0.0161,,0.0017,,0.0002,
16,Otsego NY,0.9708,,0.0094,,0.0153,,0.0044,,0.0001,
17,Madison NY,0.9702,,0.0135,,0.0088,,0.0044,,0.003,
18,Saratoga NY,0.9686,,0.0075,,0.0123,,0.0115,,0.0001,
19,St. Lawrence NY,0.9649,,0.0162,,0.011,,0.0043,,0.0036,
20,Washington NY,0.9619,,0.0241,,0.0127,,0.0009,,0.0004,
21,Ontario NY,0.9576,,0.0124,,0.0249,,0.0048,,0.0003,
22,Essex NY,0.9575,,0.0229,,0.0165,,0.0024,,0.0007,
23,Cattaraugus NY,0.9574,,0.0054,,0.0074,,0.0022,,0.0275,
24,Livingston NY,0.9564,,0.0196,,0.017,,0.0068,,0.0003,
25,Wayne NY,0.9559,,0.0186,,0.0243,,0.0009,,0.0003,
26,Genesee NY,0.9491,,0.0217,,0.0192,,0.0016,,0.0084,
27,Cayuga NY,0.9489,,0.0336,,0.0161,,0.0009,,0.0005,
28,Clinton NY,0.9466,,0.0343,,0.0144,,0.0042,,0.0005,
29,Seneca NY,0.9434,,0.0419,,0.0129,,0.0013,,0.0005,
30,Chautauqua NY,0.9343,,0.0148,,0.0486,,0.0011,,0.0012,
31,Columbia NY,0.9338,,0.0349,,0.0232,,0.0079,,0.0002,
32,Chemung NY,0.9251,,0.052,,0.0159,,0.0065,,0.0006,
33,Niagara NY,0.9244,,0.056,,0.0129,,0.0029,,0.0038,
34,Greene NY,0.9236,,0.047,,0.0273,,0.0015,,0.0006,
35,Wyoming NY,0.9203,,0.0584,,0.0193,,0.0007,,0.0012,
36,Orleans NY,0.9183,,0.0523,,0.0279,,0.0005,,0.001,
37,Broome NY,0.9118,,0.0379,,0.0249,,0.0251,,0.0002,
38,Jefferson NY,0.9039,,0.0415,,0.0492,,0.0044,,0.0009,
39,Rensselaer NY,0.9007,,0.0552,,0.0279,,0.0159,,0.0002,
40,Montgomery NY,0.8904,,0.0089,,0.0994,,0.0008,,0.0004,
41,Oneida NY,0.8834,,0.0556,,0.0402,,0.0204,,0.0005,
42,Putnam NY,0.8785,,0.0128,,0.0991,,0.0095,,0.0001,
43,Ulster NY,0.8774,,0.0441,,0.0697,,0.0082,,0.0007,
44,Tompkins NY,0.8577,,0.0288,,0.0315,,0.0815,,0.0005,
45,Franklin NY,0.8558,,0.0505,,0.0208,,0.0006,,0.0723,
46,Onondaga NY,0.8407,,0.1013,,0.0339,,0.0216,,0.0025,
47,Sullivan NY,0.8171,,0.0682,,0.1107,,0.0033,,0.0007,
48,Erie NY,0.8158,,0.1246,,0.0378,,0.0191,,0.0026,
49,Schenectady NY,0.8156,,0.0999,,0.0583,,0.0252,,0.001,
50,Albany NY,0.8022,,0.1143,,0.0421,,0.0411,,0.0003,
51,Dutchess NY,0.7934,,0.0864,,0.0961,,0.0234,,0.0008,
52,Suffolk NY,0.7866,,0.0542,,0.1391,,0.0188,,0.0013,
53,Monroe NY,0.7758,,0.1362,,0.0649,,0.0228,,0.0003,
54,Orange NY,0.7388,,0.0831,,0.1635,,0.0132,,0.0014,
55,Rockland NY,0.7206,,0.0919,,0.1428,,0.0438,,0.0008,
56,Nassau NY,0.7144,,0.0932,,0.1276,,0.0643,,0.0005,
57,Richmond NY,0.6907,,0.0895,,0.1594,,0.0594,,0.0009,
58,Westchester NY,0.643,,0.1189,,0.1969,,0.0399,,0.0013,
59,New York NY,0.5424,,0.1214,,0.2228,,0.1112,,0.0022,
60,Kings NY,0.4108,,0.3033,,0.189,,0.0951,,0.0018,
61,Queens NY,0.3543,,0.1728,,0.2576,,0.2127,,0.0026,
62,Bronx NY,0.2198,,0.2896,,0.4599,,0.024,,0.0067,
